source_state,source_city,destination_state,destination_city,vehicle_type,charging_capacity_kW,distance_km,num_ev_stations_route,charger_power_kW,charging_capacity_kWh,charging_duration_hours
Tamil Nadu,Salem,Andhra Pradesh,Guntur,3W,7.2,550.0,11.0,3.3,75,22.73
Andhra Pradesh,Salem,Tamil Nadu,Coimbatore,2W,100.0,466.0,40.0,11.0,40,3.64
Andhra Pradesh,Nellore,Andhra Pradesh,Vijayawada,3W,150.0,31.0,18.0,7.4,30,4.05
Andhra Pradesh,Guntur,Tamil Nadu,Salem,3W,22.0,287.0,11.0,100.0,40,0.4
Andhra Pradesh,Vijayawada,Andhra Pradesh,Guntur,4W,3.3,450.0,34.0,50.0,20,0.4
Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,3W,22.0,304.0,11.0,11.0,40,3.64
Tamil Nadu,Coimbatore,Andhra Pradesh,Nellore,2W,3.3,496.0,11.0,3.3,60,18.18
Tamil Nadu,Madurai,Andhra Pradesh,Nellore,2W,22.0,245.0,2.0,22.0,40,1.82
Tamil Nadu,Madurai,Tamil Nadu,Vellore,2W,50.0,229.0,33.0,3.3,75,22.73
Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,2W,11.0,340.0,45.0,7.4,20,2.7
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,3W,50.0,227.0,41.0,11.0,20,1.82
Tamil Nadu,Madurai,Tamil Nadu,Chennai,2W,150.0,378.0,13.0,11.0,60,5.45
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,Bus,11.0,465.0,25.0,11.0,50,4.55
Andhra Pradesh,Nellore,Tamil Nadu,Vellore,3W,100.0,545.0,49.0,100.0,60,0.6
Tamil Nadu,Madurai,Tamil Nadu,Vellore,4W,22.0,518.0,4.0,22.0,60,2.73
Andhra Pradesh,Tirupati,Tamil Nadu,Salem,2W,22.0,41.0,7.0,3.3,50,15.15
Tamil Nadu,Coimbatore,Andhra Pradesh,Guntur,4W,50.0,305.0,42.0,22.0,20,0.91
Tamil Nadu,Coimbatore,Tamil Nadu,Chennai,3W,3.3,103.0,25.0,3.3,50,15.15
Andhra Pradesh,Tirupati,Tamil Nadu,Vellore,Bus,22.0,513.0,47.0,7.4,60,8.11
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,2W,150.0,17.0,12.0,11.0,60,5.45
Tamil Nadu,Coimbatore,Tamil Nadu,Vellore,2W,100.0,558.0,33.0,22.0,60,2.73
Andhra Pradesh,Tirupati,Tamil Nadu,Chennai,3W,100.0,376.0,31.0,50.0,75,1.5
Tamil Nadu,Madurai,Tamil Nadu,Vellore,3W,150.0,77.0,30.0,100.0,40,0.4
Tamil Nadu,Chennai,Andhra Pradesh,Kurnool,3W,100.0,288.0,48.0,11.0,50,4.55
Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,Bus,22.0,367.0,13.0,7.4,60,8.11
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,2W,7.2,368.0,26.0,100.0,20,0.2
Andhra Pradesh,Tirupati,Tamil Nadu,Coimbatore,3W,22.0,307.0,20.0,7.4,30,4.05
Andhra Pradesh,Kurnool,Tamil Nadu,Tirupati,2W,7.2,546.0,41.0,100.0,30,0.3
Andhra Pradesh,Kurnool,Andhra Pradesh,Nellore,3W,3.3,92.0,10.0,3.3,50,15.15
Andhra Pradesh,Vijayawada,Andhra Pradesh,Vijayawada,4W,100.0,391.0,36.0,11.0,30,2.73
Tamil Nadu,Salem,Andhra Pradesh,Nellore,2W,50.0,168.0,45.0,100.0,50,0.5
Tamil Nadu,Vellore,Andhra Pradesh,Vijayawada,3W,11.0,251.0,37.0,3.3,30,9.09
Tamil Nadu,Vellore,Tamil Nadu,Chennai,4W,150.0,242.0,25.0,50.0,75,1.5
Tamil Nadu,Madurai,Tamil Nadu,Coimbatore,2W,3.3,96.0,7.0,50.0,60,1.2
Tamil Nadu,Coimbatore,Andhra Pradesh,Vijayawada,4W,22.0,230.0,29.0,3.3,75,22.73
Andhra Pradesh,Vijayawada,Andhra Pradesh,Nellore,3W,22.0,512.0,32.0,3.3,30,9.09
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,4W,3.3,202.0,46.0,11.0,20,1.82
Tamil Nadu,Salem,Andhra Pradesh,Vijayawada,2W,3.3,552.0,36.0,11.0,50,4.55
Andhra Pradesh,Coimbatore,Andhra Pradesh,Tirupati,4W,150.0,378.0,21.0,3.3,40,12.12
Andhra Pradesh,Coimbatore,Tamil Nadu,Vellore,3W,22.0,120.0,46.0,11.0,20,1.82
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,4W,100.0,75.0,16.0,7.4,40,5.41
Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,Bus,22.0,421.0,16.0,100.0,75,0.75
Andhra Pradesh,Tirupati,Andhra Pradesh,Tirupati,3W,3.3,279.0,11.0,11.0,50,4.55
Tamil Nadu,Vellore,Tamil Nadu,Coimbatore,4W,100.0,162.0,30.0,11.0,50,4.55
Andhra Pradesh,Coimbatore,Tamil Nadu,Madurai,3W,3.3,408.0,32.0,50.0,40,0.8
Tamil Nadu,Madurai,Andhra Pradesh,Nellore,2W,11.0,354.0,18.0,11.0,20,1.82
Andhra Pradesh,Tirupati,Andhra Pradesh,Tirupati,3W,100.0,282.0,29.0,11.0,30,2.73
Andhra Pradesh,Kurnool,Tamil Nadu,Chennai,Bus,50.0,308.0,12.0,11.0,40,3.64
Tamil Nadu,Salem,Tamil Nadu,Vellore,Bus,3.3,369.0,32.0,100.0,50,0.5
Andhra Pradesh,Nellore,Tamil Nadu,Vellore,4W,22.0,483.0,10.0,7.4,20,2.7
Tamil Nadu,Salem,Andhra Pradesh,Vijayawada,2W,22.0,30.0,47.0,100.0,50,0.5
Andhra Pradesh,Tirupati,Andhra Pradesh,Kurnool,3W,50.0,82.0,27.0,3.3,30,9.09
Tamil Nadu,Salem,Tamil Nadu,Tirupati,3W,11.0,280.0,44.0,100.0,60,0.6
Tamil Nadu,Chennai,Andhra Pradesh,Kurnool,Bus,11.0,39.0,26.0,11.0,40,3.64
Andhra Pradesh,Nellore,Tamil Nadu,Vijayawada,4W,50.0,391.0,24.0,3.3,50,15.15
Tamil Nadu,Salem,Andhra Pradesh,Vijayawada,3W,11.0,132.0,38.0,100.0,20,0.2
Andhra Pradesh,Coimbatore,Andhra Pradesh,Guntur,4W,150.0,66.0,25.0,7.4,40,5.41
Andhra Pradesh,Vijayawada,Andhra Pradesh,Nellore,4W,22.0,465.0,21.0,100.0,50,0.5
Andhra Pradesh,Vijayawada,Tamil Nadu,Tirupati,Bus,7.2,532.0,10.0,50.0,60,1.2
Tamil Nadu,Madurai,Andhra Pradesh,Vijayawada,4W,7.2,302.0,28.0,50.0,50,1.0
Tamil Nadu,Coimbatore,Tamil Nadu,Vellore,4W,22.0,302.0,21.0,100.0,20,0.2
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,Bus,150.0,293.0,35.0,50.0,50,1.0
Tamil Nadu,Chennai,Tamil Nadu,Salem,Bus,50.0,306.0,3.0,22.0,30,1.36
Tamil Nadu,Coimbatore,Tamil Nadu,Chennai,4W,3.3,546.0,48.0,11.0,75,6.82
Andhra Pradesh,Guntur,Tamil Nadu,Coimbatore,2W,22.0,496.0,27.0,50.0,40,0.8
Tamil Nadu,Coimbatore,Andhra Pradesh,Guntur,Bus,50.0,313.0,32.0,7.4,60,8.11
Tamil Nadu,Madurai,Andhra Pradesh,Vijayawada,Bus,150.0,218.0,25.0,7.4,75,10.14
Andhra Pradesh,Tirupati,Tamil Nadu,Coimbatore,4W,100.0,284.0,31.0,50.0,75,1.5
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,Bus,3.3,25.0,30.0,100.0,60,0.6
Andhra Pradesh,Coimbatore,Tamil Nadu,Salem,4W,100.0,316.0,18.0,7.4,30,4.05
Andhra Pradesh,Kurnool,Tamil Nadu,Tirupati,Bus,22.0,82.0,42.0,100.0,20,0.2
Tamil Nadu,Coimbatore,Andhra Pradesh,Kurnool,3W,11.0,409.0,14.0,100.0,40,0.4
Tamil Nadu,Chennai,Tamil Nadu,Salem,4W,7.2,275.0,11.0,11.0,50,4.55
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,3W,22.0,227.0,38.0,7.4,30,4.05
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,2W,150.0,416.0,13.0,50.0,75,1.5
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,2W,3.3,470.0,15.0,50.0,20,0.4
Tamil Nadu,Salem,Andhra Pradesh,Guntur,Bus,100.0,304.0,8.0,100.0,30,0.3
Andhra Pradesh,Guntur,Andhra Pradesh,Vijayawada,Bus,22.0,78.0,33.0,50.0,40,0.8
Andhra Pradesh,Chennai,Andhra Pradesh,Vijayawada,4W,50.0,24.0,42.0,22.0,75,3.41
Tamil Nadu,Coimbatore,Tamil Nadu,Madurai,2W,100.0,206.0,24.0,50.0,30,0.6
Andhra Pradesh,Vijayawada,Tamil Nadu,Salem,2W,7.2,162.0,25.0,100.0,75,0.75
Tamil Nadu,Coimbatore,Tamil Nadu,Chennai,4W,50.0,239.0,37.0,100.0,50,0.5
Andhra Pradesh,Kurnool,Tamil Nadu,Vellore,4W,11.0,11.0,22.0,7.4,75,10.14
Tamil Nadu,Salem,Tamil Nadu,Chennai,Bus,100.0,528.0,15.0,100.0,60,0.6
Tamil Nadu,Coimbatore,Tamil Nadu,Madurai,2W,150.0,393.0,4.0,11.0,75,6.82
Andhra Pradesh,Tirupati,Tamil Nadu,Chennai,3W,11.0,83.0,33.0,7.4,30,4.05
Andhra Pradesh,Kurnool,Tamil Nadu,Salem,3W,100.0,153.0,9.0,100.0,60,0.6
Andhra Pradesh,Kurnool,Andhra Pradesh,Guntur,4W,150.0,72.0,48.0,11.0,75,6.82
Tamil Nadu,Chennai,Tamil Nadu,Chennai,Bus,50.0,327.0,4.0,7.4,30,4.05
Andhra Pradesh,Tirupati,Tamil Nadu,Salem,3W,3.3,304.0,9.0,7.4,40,5.41
Tamil Nadu,Chennai,Tamil Nadu,Chennai,Bus,50.0,582.0,41.0,22.0,30,1.36
Tamil Nadu,Chennai,Andhra Pradesh,Kurnool,Bus,22.0,414.0,15.0,50.0,20,0.4
Andhra Pradesh,Tirupati,Tamil Nadu,Salem,Bus,11.0,394.0,30.0,3.3,50,15.15
Andhra Pradesh,Coimbatore,Tamil Nadu,Madurai,3W,50.0,269.0,25.0,7.4,75,10.14
Tamil Nadu,Vellore,Tamil Nadu,Salem,Bus,22.0,438.0,8.0,22.0,50,2.27
Andhra Pradesh,Kurnool,Andhra Pradesh,Guntur,4W,3.3,434.0,5.0,7.4,40,5.41
Tamil Nadu,Vellore,Tamil Nadu,Madurai,Bus,50.0,232.0,29.0,50.0,75,1.5
Andhra Pradesh,Nellore,Tamil Nadu,Vellore,2W,50.0,546.0,39.0,100.0,75,0.75
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,Bus,22.0,13.0,41.0,100.0,40,0.4
Tamil Nadu,Madurai,Tamil Nadu,Vellore,4W,22.0,42.0,22.0,3.3,20,6.06
Andhra Pradesh,Kurnool,Tamil Nadu,Tirupati,4W,22.0,253.0,9.0,7.4,20,2.7
Tamil Nadu,Vellore,Tamil Nadu,Vellore,4W,100.0,522.0,20.0,50.0,50,1.0
Andhra Pradesh,Guntur,Tamil Nadu,Coimbatore,4W,150.0,319.0,41.0,7.4,40,5.41
Andhra Pradesh,Vijayawada,Andhra Pradesh,Guntur,4W,3.3,34.0,17.0,22.0,50,2.27
Tamil Nadu,Vellore,Andhra Pradesh,Vijayawada,2W,50.0,64.0,23.0,22.0,50,2.27
Andhra Pradesh,Vijayawada,Tamil Nadu,Chennai,2W,50.0,121.0,7.0,7.4,20,2.7
Tamil Nadu,Coimbatore,Tamil Nadu,Chennai,Bus,22.0,138.0,1.0,50.0,60,1.2
Andhra Pradesh,Coimbatore,Andhra Pradesh,Tirupati,2W,50.0,114.0,18.0,7.4,20,2.7
Tamil Nadu,Chennai,Tamil Nadu,Chennai,4W,50.0,367.0,35.0,22.0,40,1.82
Andhra Pradesh,Kurnool,Andhra Pradesh,Vijayawada,Bus,3.3,103.0,4.0,7.4,40,5.41
Andhra Pradesh,Guntur,Andhra Pradesh,Vijayawada,4W,22.0,551.0,1.0,100.0,50,0.5
Tamil Nadu,Salem,Andhra Pradesh,Tirupati,3W,7.2,143.0,21.0,3.3,50,15.15
Andhra Pradesh,Nellore,Andhra Pradesh,Tirupati,4W,50.0,197.0,28.0,100.0,50,0.5
Tamil Nadu,Chennai,Andhra Pradesh,Tirupati,3W,7.2,45.0,35.0,7.4,60,8.11
Andhra Pradesh,Guntur,Andhra Pradesh,Kurnool,Bus,22.0,240.0,27.0,3.3,75,22.73
Tamil Nadu,Vellore,Andhra Pradesh,Kurnool,Bus,11.0,583.0,2.0,11.0,50,4.55
Tamil Nadu,Salem,Tamil Nadu,Salem,3W,3.3,455.0,29.0,7.4,60,8.11
Tamil Nadu,Vellore,Tamil Nadu,Madurai,4W,150.0,298.0,17.0,7.4,60,8.11
Tamil Nadu,Salem,Tamil Nadu,Chennai,3W,11.0,27.0,23.0,50.0,50,1.0
Tamil Nadu,Madurai,Andhra Pradesh,Kurnool,Bus,7.2,520.0,20.0,11.0,20,1.82
Andhra Pradesh,Tirupati,Andhra Pradesh,Tirupati,Bus,22.0,111.0,45.0,22.0,75,3.41
Andhra Pradesh,Tirupati,Tamil Nadu,Vellore,4W,50.0,176.0,12.0,7.4,75,10.14
Tamil Nadu,Salem,Andhra Pradesh,Tirupati,2W,22.0,141.0,8.0,3.3,75,22.73
Tamil Nadu,Chennai,Tamil Nadu,Salem,4W,11.0,61.0,34.0,7.4,50,6.76
Tamil Nadu,Vellore,Andhra Pradesh,Nellore,Bus,22.0,368.0,6.0,11.0,75,6.82
Tamil Nadu,Coimbatore,Tamil Nadu,Vellore,Bus,50.0,277.0,42.0,50.0,40,0.8
Andhra Pradesh,Salem,Andhra Pradesh,Kurnool,2W,11.0,518.0,27.0,22.0,20,0.91
Tamil Nadu,Salem,Andhra Pradesh,Vijayawada,2W,100.0,269.0,17.0,11.0,30,2.73
Andhra Pradesh,Salem,Andhra Pradesh,Nellore,2W,11.0,186.0,40.0,22.0,50,2.27
Tamil Nadu,Chennai,Andhra Pradesh,Nellore,4W,150.0,44.0,48.0,100.0,20,0.2
Tamil Nadu,Chennai,Andhra Pradesh,Kurnool,4W,50.0,126.0,42.0,100.0,30,0.3
Tamil Nadu,Salem,Tamil Nadu,Chennai,2W,3.3,590.0,39.0,22.0,20,0.91
Andhra Pradesh,Madurai,Andhra Pradesh,Guntur,4W,7.2,405.0,16.0,3.3,50,15.15
Andhra Pradesh,Vijayawada,Tamil Nadu,Chennai,2W,150.0,238.0,31.0,7.4,30,4.05
Andhra Pradesh,Nellore,Andhra Pradesh,Vijayawada,4W,3.3,229.0,18.0,3.3,50,15.15
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,3W,150.0,304.0,45.0,7.4,30,4.05
Tamil Nadu,Chennai,Tamil Nadu,Vijayawada,4W,11.0,115.0,34.0,100.0,60,0.6
Tamil Nadu,Madurai,Andhra Pradesh,Vijayawada,Bus,11.0,58.0,15.0,100.0,30,0.3
Tamil Nadu,Vellore,Andhra Pradesh,Nellore,4W,150.0,472.0,9.0,3.3,20,6.06
Andhra Pradesh,Tirupati,Andhra Pradesh,Kurnool,2W,150.0,159.0,13.0,3.3,40,12.12
Tamil Nadu,Chennai,Tamil Nadu,Vellore,Bus,22.0,282.0,25.0,100.0,30,0.3
Tamil Nadu,Chennai,Tamil Nadu,Chennai,2W,22.0,314.0,40.0,50.0,30,0.6
Tamil Nadu,Chennai,Tamil Nadu,Coimbatore,3W,100.0,430.0,49.0,50.0,30,0.6
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,Bus,150.0,331.0,39.0,7.4,75,10.14
Andhra Pradesh,Tirupati,Andhra Pradesh,Tirupati,3W,22.0,495.0,20.0,100.0,40,0.4
Andhra Pradesh,Guntur,Tamil Nadu,Vijayawada,Bus,3.3,128.0,25.0,3.3,60,18.18
Andhra Pradesh,Coimbatore,Andhra Pradesh,Tirupati,3W,22.0,391.0,14.0,3.3,30,9.09
Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,Bus,22.0,496.0,46.0,100.0,75,0.75
Andhra Pradesh,Kurnool,Tamil Nadu,Tirupati,2W,22.0,304.0,43.0,11.0,60,5.45
Andhra Pradesh,Tirupati,Andhra Pradesh,Tirupati,Bus,150.0,474.0,35.0,50.0,20,0.4
Andhra Pradesh,Nellore,Tamil Nadu,Salem,Bus,11.0,451.0,42.0,100.0,50,0.5
Andhra Pradesh,Nellore,Tamil Nadu,Vellore,3W,50.0,413.0,2.0,11.0,40,3.64
Andhra Pradesh,Kurnool,Andhra Pradesh,Nellore,Bus,22.0,477.0,37.0,22.0,60,2.73
Andhra Pradesh,Nellore,Tamil Nadu,Chennai,4W,50.0,477.0,32.0,3.3,40,12.12
Andhra Pradesh,Tirupati,Andhra Pradesh,Guntur,3W,7.2,288.0,43.0,100.0,20,0.2
Andhra Pradesh,Vijayawada,Tamil Nadu,Chennai,3W,100.0,504.0,47.0,3.3,50,15.15
Andhra Pradesh,Vijayawada,Andhra Pradesh,Nellore,3W,22.0,234.0,41.0,22.0,20,0.91
Tamil Nadu,Salem,Tamil Nadu,Coimbatore,Bus,50.0,580.0,49.0,22.0,75,3.41
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,4W,150.0,266.0,13.0,3.3,75,22.73
Tamil Nadu,Coimbatore,Tamil Nadu,Vellore,3W,22.0,128.0,2.0,7.4,20,2.7
Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,3W,22.0,545.0,11.0,50.0,40,0.8
Tamil Nadu,Chennai,Andhra Pradesh,Guntur,Bus,22.0,370.0,30.0,50.0,75,1.5
Tamil Nadu,Salem,Andhra Pradesh,Guntur,2W,3.3,304.0,25.0,11.0,30,2.73
Tamil Nadu,Vellore,Andhra Pradesh,Tirupati,3W,100.0,389.0,17.0,11.0,40,3.64
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,3W,7.2,352.0,7.0,3.3,60,18.18
Andhra Pradesh,Nellore,Tamil Nadu,Madurai,2W,22.0,503.0,30.0,100.0,50,0.5
Andhra Pradesh,Vijayawada,Tamil Nadu,Madurai,3W,50.0,304.0,3.0,7.4,20,2.7
Andhra Pradesh,Nellore,Tamil Nadu,Coimbatore,2W,7.2,125.0,36.0,11.0,40,3.64
Andhra Pradesh,Vijayawada,Tamil Nadu,Salem,2W,50.0,234.0,21.0,22.0,40,1.82
Tamil Nadu,Coimbatore,Andhra Pradesh,Vijayawada,3W,3.3,591.0,47.0,3.3,30,9.09
Tamil Nadu,Coimbatore,Andhra Pradesh,Vijayawada,Bus,50.0,508.0,20.0,100.0,20,0.2
Tamil Nadu,Vellore,Tamil Nadu,Madurai,4W,150.0,564.0,23.0,22.0,75,3.41
Andhra Pradesh,Madurai,Andhra Pradesh,Nellore,Bus,22.0,366.0,13.0,22.0,50,2.27
Tamil Nadu,Vellore,Tamil Nadu,Salem,Bus,22.0,105.0,34.0,50.0,50,1.0
Andhra Pradesh,Guntur,Tamil Nadu,Chennai,3W,7.2,309.0,17.0,11.0,40,3.64
Tamil Nadu,Coimbatore,Andhra Pradesh,Vijayawada,2W,50.0,146.0,14.0,22.0,40,1.82
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,Bus,150.0,513.0,23.0,22.0,75,3.41
Tamil Nadu,Chennai,Tamil Nadu,Madurai,3W,11.0,59.0,25.0,7.4,20,2.7
Andhra Pradesh,Guntur,Tamil Nadu,Coimbatore,4W,150.0,489.0,25.0,3.3,20,6.06
Andhra Pradesh,Tirupati,Tamil Nadu,Coimbatore,4W,22.0,176.0,19.0,7.4,50,6.76
Andhra Pradesh,Vijayawada,Andhra Pradesh,Guntur,3W,50.0,471.0,18.0,50.0,20,0.4
Tamil Nadu,Vellore,Tamil Nadu,Vellore,2W,3.3,398.0,25.0,3.3,20,6.06
Andhra Pradesh,Kurnool,Tamil Nadu,Vellore,4W,50.0,144.0,42.0,22.0,75,3.41
Andhra Pradesh,Guntur,Andhra Pradesh,Vijayawada,Bus,50.0,38.0,10.0,50.0,60,1.2
Andhra Pradesh,Tirupati,Andhra Pradesh,Guntur,2W,50.0,233.0,15.0,3.3,50,15.15
Andhra Pradesh,Tirupati,Andhra Pradesh,Nellore,2W,7.2,234.0,13.0,100.0,50,0.5
Andhra Pradesh,Kurnool,Tamil Nadu,Coimbatore,3W,50.0,490.0,26.0,100.0,50,0.5
Andhra Pradesh,Coimbatore,Tamil Nadu,Chennai,4W,7.2,30.0,41.0,3.3,30,9.09
Tamil Nadu,Vellore,Andhra Pradesh,Guntur,Bus,7.2,562.0,44.0,50.0,20,0.4
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,4W,7.2,563.0,41.0,3.3,20,6.06
Andhra Pradesh,Nellore,Andhra Pradesh,Kurnool,2W,3.3,167.0,47.0,50.0,60,1.2
Andhra Pradesh,Tirupati,Andhra Pradesh,Kurnool,2W,100.0,547.0,9.0,22.0,75,3.41
Tamil Nadu,Coimbatore,Andhra Pradesh,Kurnool,4W,50.0,137.0,30.0,50.0,60,1.2
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,2W,22.0,252.0,23.0,7.4,40,5.41
Andhra Pradesh,Chennai,Tamil Nadu,Chennai,2W,3.3,89.0,34.0,7.4,20,2.7
Andhra Pradesh,Tirupati,Tamil Nadu,Vellore,Bus,3.3,489.0,32.0,7.4,60,8.11
Tamil Nadu,Chennai,Andhra Pradesh,Nellore,2W,100.0,367.0,20.0,50.0,50,1.0
Andhra Pradesh,Nellore,Tamil Nadu,Vellore,4W,50.0,152.0,36.0,11.0,30,2.73
Andhra Pradesh,Vijayawada,Andhra Pradesh,Kurnool,2W,50.0,403.0,23.0,22.0,50,2.27
Tamil Nadu,Coimbatore,Tamil Nadu,Vijayawada,3W,50.0,470.0,31.0,50.0,30,0.6
Tamil Nadu,Vellore,Andhra Pradesh,Vijayawada,4W,50.0,142.0,32.0,3.3,75,22.73
Andhra Pradesh,Tirupati,Andhra Pradesh,Tirupati,4W,22.0,582.0,23.0,50.0,40,0.8
Tamil Nadu,Vellore,Andhra Pradesh,Kurnool,4W,22.0,207.0,13.0,100.0,75,0.75
Andhra Pradesh,Guntur,Tamil Nadu,Chennai,2W,3.3,66.0,16.0,50.0,50,1.0
Andhra Pradesh,Guntur,Tamil Nadu,Vellore,2W,11.0,310.0,44.0,3.3,60,18.18
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,3W,3.3,277.0,24.0,50.0,30,0.6
Andhra Pradesh,Vijayawada,Tamil Nadu,Madurai,2W,11.0,170.0,35.0,50.0,60,1.2
Tamil Nadu,Salem,Tamil Nadu,Coimbatore,Bus,7.2,598.0,30.0,7.4,60,8.11
Tamil Nadu,Salem,Tamil Nadu,Madurai,3W,3.3,276.0,26.0,3.3,60,18.18
Tamil Nadu,Madurai,Andhra Pradesh,Kurnool,4W,22.0,539.0,49.0,50.0,50,1.0
Andhra Pradesh,Nellore,Tamil Nadu,Madurai,4W,100.0,212.0,39.0,22.0,60,2.73
Andhra Pradesh,Vijayawada,Tamil Nadu,Chennai,4W,50.0,146.0,5.0,50.0,50,1.0
Tamil Nadu,Vellore,Tamil Nadu,Vellore,2W,150.0,116.0,20.0,11.0,40,3.64
Tamil Nadu,Vellore,Tamil Nadu,Tirupati,4W,22.0,200.0,30.0,22.0,20,0.91
Andhra Pradesh,Kurnool,Andhra Pradesh,Nellore,3W,22.0,557.0,6.0,11.0,60,5.45
Andhra Pradesh,Nellore,Andhra Pradesh,Kurnool,4W,50.0,468.0,38.0,11.0,50,4.55
Andhra Pradesh,Tirupati,Andhra Pradesh,Tirupati,2W,3.3,534.0,38.0,50.0,20,0.4
Andhra Pradesh,Kurnool,Tamil Nadu,Salem,2W,11.0,35.0,40.0,100.0,50,0.5
Andhra Pradesh,Vellore,Andhra Pradesh,Guntur,4W,22.0,197.0,43.0,11.0,30,2.73
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,Bus,3.3,86.0,25.0,22.0,30,1.36
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,2W,7.2,433.0,7.0,22.0,20,0.91
Tamil Nadu,Coimbatore,Tamil Nadu,Vellore,4W,7.2,407.0,25.0,22.0,75,3.41
Andhra Pradesh,Guntur,Andhra Pradesh,Tirupati,4W,3.3,447.0,16.0,3.3,20,6.06
Tamil Nadu,Madurai,Andhra Pradesh,Vijayawada,4W,50.0,351.0,33.0,50.0,30,0.6
Andhra Pradesh,Tirupati,Tamil Nadu,Vellore,3W,150.0,343.0,28.0,50.0,30,0.6
Andhra Pradesh,Tirupati,Tamil Nadu,Salem,3W,11.0,106.0,19.0,50.0,75,1.5
Andhra Pradesh,Vijayawada,Tamil Nadu,Madurai,3W,150.0,580.0,5.0,100.0,20,0.2
Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,4W,3.3,304.0,28.0,100.0,40,0.4
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,3W,22.0,407.0,3.0,3.3,60,18.18
Andhra Pradesh,Tirupati,Andhra Pradesh,Vijayawada,3W,7.2,364.0,13.0,22.0,75,3.41
Tamil Nadu,Madurai,Tamil Nadu,Vijayawada,Bus,11.0,398.0,21.0,50.0,75,1.5
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,2W,50.0,445.0,2.0,50.0,50,1.0
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,3W,7.2,181.0,18.0,11.0,50,4.55
Andhra Pradesh,Coimbatore,Tamil Nadu,Madurai,2W,150.0,205.0,13.0,7.4,40,5.41
Tamil Nadu,Madurai,Andhra Pradesh,Guntur,Bus,22.0,337.0,21.0,22.0,75,3.41
Tamil Nadu,Vellore,Tamil Nadu,Chennai,2W,7.2,303.0,22.0,100.0,20,0.2
Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,Bus,7.2,391.0,31.0,50.0,60,1.2
Tamil Nadu,Chennai,Tamil Nadu,Chennai,Bus,7.2,157.0,17.0,11.0,75,6.82
Tamil Nadu,Coimbatore,Tamil Nadu,Chennai,Bus,50.0,328.0,1.0,11.0,50,4.55
Andhra Pradesh,Nellore,Tamil Nadu,Chennai,2W,50.0,473.0,34.0,11.0,30,2.73
Andhra Pradesh,Kurnool,Andhra Pradesh,Guntur,4W,22.0,191.0,35.0,7.4,50,6.76
Andhra Pradesh,Kurnool,Tamil Nadu,Coimbatore,4W,11.0,49.0,9.0,3.3,50,15.15
Tamil Nadu,Chennai,Tamil Nadu,Madurai,Bus,22.0,142.0,40.0,7.4,30,4.05
Tamil Nadu,Vellore,Andhra Pradesh,Nellore,3W,7.2,246.0,20.0,22.0,60,2.73
Andhra Pradesh,Guntur,Andhra Pradesh,Vijayawada,4W,3.3,60.0,25.0,50.0,50,1.0
Andhra Pradesh,Coimbatore,Tamil Nadu,Madurai,4W,150.0,294.0,37.0,100.0,30,0.3
Tamil Nadu,Vellore,Tamil Nadu,Guntur,4W,3.3,483.0,28.0,100.0,75,0.75
Tamil Nadu,Madurai,Tamil Nadu,Salem,3W,150.0,559.0,46.0,22.0,30,1.36
Tamil Nadu,Salem,Tamil Nadu,Vellore,Bus,3.3,116.0,36.0,50.0,20,0.4
Tamil Nadu,Salem,Tamil Nadu,Coimbatore,4W,150.0,537.0,37.0,11.0,60,5.45
